   	      	                fitness                	              size             
   	      	---------------------------------------	-------------------------------
gen	nevals	avg    	max    	min     	std    	avg    	max	min	std    
0  	300   	2.39949	59.2593	0.165572	4.64122	3.69667	7  	2  	1.61389
1  	146   	1.0971 	10.1   	0.165572	0.845978	3.80667	13 	1  	1.78586
2  	169   	0.902365	6.5179 	0.165572	0.72362 	4.16   	13 	1  	2.0366 
3  	167   	0.852725	9.6327 	0.165572	0.869381	4.63667	13 	1  	2.20408
4  	158   	0.74829 	14.1573	0.165572	1.01281 	4.88333	13 	1  	2.14392
5  	160   	0.630299	7.90605	0.165572	0.904373	5.52333	14 	1  	2.09351
6  	181   	0.495118	4.09456	0.165572	0.524658	6.08333	13 	1  	1.99409
7  	170   	0.403873	2.6434 	0.165572	0.440596	6.34667	14 	1  	1.84386
8  	173   	0.393405	2.9829 	0.165572	0.425415	6.37   	12 	1  	1.78132
9  	168   	0.414299	13.5996	0.165572	0.841226	6.25333	11 	2  	1.76328
10 	142   	0.384179	4.07808	0.165572	0.477269	6.25667	13 	1  	1.78067
11 	156   	0.459639	19.8316	0.165572	1.47254 	6.35333	15 	1  	2.04983
12 	167   	0.384348	6.79674	0.165572	0.495807	6.25   	13 	1  	1.92029
13 	157   	0.42446 	11.0636	0.165572	0.818953	6.43667	15 	1  	2.11959
14 	175   	0.342257	2.552  	0.165572	0.325872	6.23333	15 	1  	2.14295
15 	154   	0.442374	13.8349	0.165572	0.950612	6.05667	14 	1  	1.90266
16 	181   	0.455697	19.7228	0.101561	1.39528 	6.08667	13 	1  	1.84006
17 	178   	0.36256 	2.54124	0.101561	0.340555	6.24   	15 	1  	2.20055
18 	171   	0.411532	14.2339	0.101561	0.897785	6.44   	15 	1  	2.2715 
19 	156   	0.43193 	15.5923	0.101561	0.9949  	6.66667	15 	1  	2.40185
20 	169   	0.398163	4.09456	0.0976781	0.450231	6.96667	15 	1  	2.62022
21 	162   	0.385774	4.09456	0.0976781	0.421867	7.13   	14 	1  	2.65577
22 	162   	0.35318 	2.55465	0.0253803	0.389453	7.66667	19 	2  	3.04995
23 	164   	0.3471  	3.66792	0.0253803	0.482334	8.24   	21 	1  	3.48364
24 	159   	1.46248 	331.247	0.0253803	19.0841 	9.42667	19 	3  	3.238  
25 	164   	0.382697	6.6452 	0.0173316	0.652247	10.1867	25 	1  	3.46292
26 	139   	0.367651	11.9045	0.0173316	0.855067	10.67  	19 	3  	3.32582
27 	167   	0.345866	6.6452 	0.0173316	0.586155	11.4   	27 	3  	3.44384
28 	183   	0.388404	4.53076	0.0173316	0.58986 	11.5767	24 	3  	3.4483 
29 	163   	0.356009	6.33264	0.0173316	0.563266	12.2433	29 	2  	4.23211
30 	174   	0.31506 	2.54124	0.0173316	0.412507	12.92  	27 	3  	4.5041 
31 	206   	0.361197	2.9829 	0.0173316	0.486155	13.9333	33 	1  	5.6747 
32 	168   	0.302704	4.01244	0.0173316	0.502277	15.04  	31 	3  	5.40849
33 	160   	0.246509	3.30873	0.012947 	0.433212	16.3967	34 	2  	5.66092
34 	158   	0.344791	26.1966	0.012947 	1.57277 	17.39  	43 	1  	6.13008
35 	162   	0.212572	2.85856	0.0148373	0.363023	17.64  	37 	2  	6.04349
36 	183   	0.240268	5.06093	0.0112887	0.482794	17.4333	41 	3  	6.33184
37 	185   	0.514635	65.543 	0.0103125	3.7864  	16.6167	41 	1  	6.58456
38 	134   	0.340433	11.2506	0.0103125	0.827213	16.2733	34 	1  	6.08484
39 	158   	0.329797	15.8145	4.50668e-33	1.05693 	16.4133	34 	1  	6.09993
40 	164   	0.306543	14.3573	4.50668e-33	0.947046	17.9033	53 	2  	8.23695

Best individual seen:
